PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
EXCELLENT ADULT CAT Chicken & Rice;12286505;7,5;1; 2.012,12 ; 2.012,12 ; 2.434,68 ; 2.434,68 ; 3.165,07 
EXCELLENT ADULT CAT Chicken & Rice;12286507;15;1; 3.882,02 ; 3.882,02 ; 4.697,25 ; 4.697,25 ; 6.012,48 
EXCELLENT ADULT CAT RED. CAL. CH&R ;12286522;1;6; 2.304,14 ; 384,02 ; 2.788,00 ; 464,68 ; 627,30 
EXCELLENT ADULT CAT RED. CAL. CH&R ;12286510;7,5;1; 2.242,16 ; 2.242,16 ; 2.713,02 ; 2.713,02 ; 3.526,92 
EXCELLENT URINARY CAT CH&R;12286521;1;6; 2.304,14 ; 384,02 ; 2.788,00 ; 464,68 ; 627,30 
EXCELLENT URINARY CAT CH&R;12286501;7,5;1; 2.242,16 ; 2.242,16 ; 2.713,02 ; 2.713,02 ; 3.526,92 
SUPERCOAT ADVANCED PUPPY ALL BREED;12431880;22;1; 3.298,13 ; 3.298,13 ; 3.990,74 ; 3.990,74 ; 5.108,14 
SUPERCOAT ADVANCED ADULT DOG ALL BREED ;12429148;22;1; 2.960,64 ; 2.960,64 ; 3.582,38 ; 3.582,38 ; 4.585,44 
SUPERCOAT Maintenance Perro Adulto 22Kg AR;12428940;22;1; 1.999,45 ; 1.999,45 ; 2.419,33 ; 2.419,33 ; 2.975,77 
SUPERCOAT ADVANCED ADULT CAT;12429135;15;1; 3.479,94 ; 3.479,94 ; 4.210,73 ; 4.210,73 ; 5.389,74 
DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414471;1,5;9; 2.125,38 ; 236,15 ; 2.571,69 ; 285,75 ; 371,47 
DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414170;3;6; 2.578,29 ; 429,71 ; 3.119,75 ; 519,95 ; 675,94 
DOG CHOW CACHORROS RAZAS PEQUEÑAS;12414473;21;1; 2.505,00 ; 2.505,00 ; 3.031,06 ; 3.031,06 ; 3.728,19 
DOG CHOW CACHORRO SIN COLORANTES;12414149;1,5;9; 2.125,37 ; 236,15 ; 2.571,70 ; 285,74 ; 371,47 
DOG CHOW CACHORRO SIN COLORANTES;12414135;3;6; 2.578,30 ; 429,72 ; 3.119,74 ; 519,96 ; 675,94 
DOG CHOW CACHORRO SIN COLORANTES;12414491;8;1; 1.044,35 ; 1.044,35 ; 1.263,66 ; 1.263,66 ; 1.579,59 
DOG CHOW CACHORRO SIN COLORANTES;12414467;15;1; 1.878,18 ; 1.878,18 ; 2.272,60 ; 2.272,60 ; 2.840,76 
DOG CHOW CACHORRO SIN COLORANTES;12414465;21;1; 2.505,00 ; 2.505,00 ; 3.031,05 ; 3.031,05 ; 3.728,18 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414490;1,5;9; 2.024,22 ; 224,91 ; 2.449,31 ; 272,15 ; 353,79 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414459;3;6; 2.455,65 ; 409,27 ; 2.971,33 ; 495,22 ; 643,79 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414458;8;1; 994,62 ; 994,62 ; 1.203,49 ; 1.203,49 ; 1.504,37 
DOG CHOW ADULTO MINI & PEQUEÑO SIN COLORANTES;12414480;21;1; 2.385,70 ; 2.385,70 ; 2.886,70 ; 2.886,70 ; 3.550,63 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414578;1,5;9; 2.024,22 ; 224,91 ; 2.449,31 ; 272,15 ; 353,79 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414579;3;6; 2.455,65 ; 409,27 ; 2.971,33 ; 495,22 ; 643,79 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414549;8;1; 994,62 ; 994,62 ; 1.203,49 ; 1.203,49 ; 1.504,37 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414610;15;1; 1.788,73 ; 1.788,73 ; 2.164,36 ; 2.164,36 ; 2.705,47 
DOG CHOW ADULTO MEDIANO & GRANDE SIN COLORANTES;12414620;21;1; 2.385,70 ; 2.385,70 ; 2.886,70 ; 2.886,70 ; 3.550,63 
DOG CHOW LONGEVIDAD;12414160;1,5;9; 2.125,36 ; 236,15 ; 2.571,67 ; 285,73 ; 371,47 
DOG CHOW LONGEVIDAD;12414129;3;6; 2.578,35 ; 429,73 ; 3.119,81 ; 519,97 ; 675,96 
DOG CHOW LONGEVIDAD;12414107;8;1; 1.044,34 ; 1.044,34 ; 1.263,66 ; 1.263,66 ; 1.579,55 
DOG CHOW LONGEVIDAD;12414455;15;1; 1.878,16 ; 1.878,16 ; 2.272,57 ; 2.272,57 ; 2.840,73 
DOG CHOW LONGEVIDAD;12414147;21;1; 2.505,00 ; 2.505,00 ; 3.031,04 ; 3.031,04 ; 3.728,17 
DOG CHOW CONTROL DE PESO;12414128;1,5;9; 2.125,36 ; 236,15 ; 2.571,67 ; 285,73 ; 371,47 
DOG CHOW CONTROL DE PESO;12414150;3;6; 2.578,35 ; 429,73 ; 3.119,81 ; 519,97 ; 675,96 
DOG CHOW CONTROL DE PESO;12414481;8;1; 1.044,34 ; 1.044,34 ; 1.263,66 ; 1.263,66 ; 1.579,55 
DOG CHOW CONTROL DE PESO;12414151;21;1; 2.505,00 ; 2.505,00 ; 3.031,04 ; 3.031,04 ; 3.728,17 
DOGCHOWCachTdTmC/Pollo15x100gXI;12409081;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltTdTmC/Pollo15x100gXI;12409080;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltTdTmC/Pavo15x100gXI;12409086;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltMinisYPeqC/Pol15x100gXI;12409088;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltMinisYPeqC/Smn15x100gXI;12409090;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOGCHOWAdltMinisYPeqC/MixDePolYPa15x100gXI;12409089;0,1;15; 639,91 ; 42,66 ; 774,29 ; 51,62 ; 72,27 
DOG CHOW Salud Oral Adlt Minis Peq 20x45g;12418654;0,045;20; 1.276,27 ; 63,81 ; 1.544,29 ; 77,21 ; 108,10 
DOG CHOW X Life Salud Oral Adlt Med Gde 20x80g;12418618;0,08;20; 1.416,77 ; 70,84 ; 1.714,29 ; 85,71 ; 120,00 
CAT CHOW GATITOS ;12296017;0,5;10; 1.296,95 ; 129,70 ; 1.569,31 ; 156,93 ; 204,01 
CAT CHOW GATITOS ;12296016;1;8; 1.910,05 ; 238,76 ; 2.311,15 ; 288,90 ; 375,56 
CAT CHOW GATITOS ;12296015;8;1; 1.543,20 ; 1.543,20 ; 1.867,26 ; 1.867,26 ; 2.334,07 
